Company,Country
Adani Ports and Special Economic Zone,India
CBRE Group,USA
Arconic,USA
GlaxoSmithKline,UK
Equitable Holdings,USA
ODP,USA
Publix Super Markets,USA
Croda International,UK
PNC Financial Services Group,USA
Alibaba Health Information Technology,China
Exelon,USA
Textron,USA
Lendlease Group,Australia
Balfour Beatty,UK
Ameriprise Financial,USA
AES,USA
Reliance Steel & Aluminum,USA
Otis Worldwide,USA
Deutsche Post DHL Group,Germany
Standard Chartered,UK
Petrofac,UK
Raymond James Financial,USA
United Technologies Corporation,USA
CRH (China Resources Holdings),China
Nucor,USA
Volkswagen Group,Germany
"Revlon, Inc.",USA
Knight-Swift Transportation Holdings,USA
Vonovia SE,Germany
Lennar,USA
Fresenius Medical Care AG & Co. KGaA,Germany
Thrivent Financial for Lutherans,USA
Owens & Minor,USA
China Eastern Airlines,China
Elevance Health,USA
JSW Steel,India
Casey's General Stores,USA
Fortune Brands Innovations,USA
Jubilant Foodworks,India
Estée Lauder,USA
HeidelbergCement AG,Germany
Booz Allen Hamilton Holding,USA
Microsoft,USA
Dr. Reddy's Laboratories,India
McDonald's,USA
Campbell Soup,USA
TravelCenters of America,USA
MTU Aero Engines AG,Germany
Genworth Financial,USA
Qurate Retail,USA
Xcel Energy,USA
Intuit,USA
"Spirit Airlines, Inc.",USA
NVR,USA
NTPC Limited,India
China Shenhua Energy,China
ProSiebenSat.1 Media SE,Germany
Erie Insurance Group,USA
Adelaide Brighton,Australia
Walmart,USA
China Evergrande Group,China
Quanta Services,USA
McKesson,USA
Kraft Heinz,USA
Apollo Global Management,USA
Iluka Resources,Australia
"T-Mobile US, Inc.",USA
W.W. Grainger,USA
Intel,USA
Salesforce,USA
Stryker,USA
Caesars Entertainment,USA
Progressive,USA
American Family Insurance Group,USA
Oil Search,Australia
International Flavors & Fragrances,USA
Wacker Chemie AG,Germany
Deutsche Telekom AG,Germany
PPL,USA
Capital One Financial,USA
Loews,USA
Hyatt Hotels Corporation,USA
Rockwell Automation,USA
Kotak Mahindra Bank,India
WESCO International,USA
Rite Aid,USA
Lumen Technologies,USA
Berkshire Hathaway,USA
British American Tobacco,UK
General Electric,USA
Huawei Technologies,China
China Vanke,China
US Foods Holding,USA
Aurizon Holdings,Australia
Lululemon athletica,USA
HDFC Bank,India
Sky plc,UK
Ramsay Health Care,Australia
Adidas AG,Germany
Hochschild Mining,UK
NextEra Energy,USA
Royal Mail,UK
Taylor Morrison Home,USA
Exxon Mobil,USA
Torrent Pharmaceuticals,India
Williams-Sonoma,USA
Halliburton,USA
China Telecom,China
FirstEnergy,USA
