Company,Country,Company Size
3i Group,UK,249
3M,USA,95000
A-Mark Precious Metals,USA,429
Abbott Laboratories,USA,113000
AbbVie,USA,50000
ABM Industries,USA,140000
Activision Blizzard,USA,9500
Adani Enterprises,India,17000
Adani Green Energy,India,150
Adani Ports and Special Economic Zone,India,12000
Adelaide Brighton,Australia,1600
Adidas AG,Germany,62000
Aditya Birla Capital,India,47000
Admiral Group,UK,11000
Adobe,USA,25000
Advance Auto Parts,USA,41000
Advanced Micro Devices,USA,15500
AECOM,USA,54000
AES,USA,8000
Aflac,USA,11000
AGCO,USA,21000
Agricultural Bank of China,China,464048
Air Products & Chemicals,USA,20950
Airbnb,USA,6000
Airtel Africa,UK,3694
Alaska Air Group,USA,23100
Albemarle,USA,6000
Albertsons,USA,290000
Alcoa,USA,13800
Alibaba Group,China,254000
Alibaba Health Information Technology,China,12000
Allianz SE,Germany,150300
Allstate,USA,42000
Ally Financial,USA,10000
Alphabet,USA,156500
Altice USA,USA,11000
Altria Group,USA,8300
Alumina Limited,Australia,14
Amazon.com,USA,1600000
Ambuja Cements,India,5200
Ameren,USA,9000
American Airlines Group,USA,133700
American Electric Power,USA,17505
American Express,USA,64000
American Family Insurance Group,USA,13500
American International Group,USA,46000
American Tower,USA,5454
Ameriprise Financial,USA,13000
AmerisourceBergen,USA,41500
Amgen,USA,24000
AMP Limited,Australia,6500
Amphenol,USA,80000
Analog Devices,USA,24300
Andersons,USA,2000
Anglo American plc,UK,95000
Anheuser-Busch InBev SA/NV,Belgium,169000
APA,USA,2253
APA Group,Australia,1800
Apollo Global Management,USA,1700
Apple,USA,154000
Applied Materials,USA,29000
Aramark,USA,248000
Archer Daniels Midland,USA,38800
Arconic,USA,41400
Aristocrat Leisure,Australia,6500
ARKO,USA,13481
Arrow Electronics,USA,20700
Arthur J. Gallagher,USA,33600
Asbury Automotive Group,USA,11000
Ashtead Group,UK,19000
Asian Paints,India,7800
Associated British Foods,UK,133000
Assurant,USA,14800
AstraZeneca,UK,76100
AT&T,USA,230000
Aurizon Holdings,Australia,4800
Aurobindo Pharma,India,21000
Australia and New Zealand Banking Group (ANZ),Australia,39314
Auto Trader Group,UK,1000
Auto-Owners Insurance,USA,5500
Autoliv,USA,67000
